Product Name,Slug (URL),Category,Brand / Manufacturer,Selling Price (₹),MRP (₹),Stock Quantity,Composition / Salt,Prescription Required (Yes/No),Expiry Date (MM/YYYY),Description (2-3 lines),Product Image Filename
Paracetamol 500mg,paracetamol-500mg,Tablets,Sun Pharma,25,40,100,Paracetamol IP 500mg,No,12/2026,Used for fever and mild to moderate pain relief. Fast acting formula.,paracetamol-500mg.jpg
[Product Name],[url-friendly-name],[Category],[Brand],[ ],[  ],[  ],[Composition],[Yes/No],[MM/YYYY],[Short description],[image.jpg]
,,,,,,,,,,,
INSTRUCTIONS - PLEASE READ BEFORE FILLING,,,,,,,,,,,
,,,,,,,,,,,
FIELD GUIDE,,,,,,,,,,,
Product Name,"Full medicine name with dosage. Example: Paracetamol 500mg, Cough Syrup 100ml",,,,,,,,,,
Slug (URL),"Lowercase, hyphens only, no spaces. Example: paracetamol-500mg",,,,,,,,,,
Category,"Must be one of: Tablets / Syrups / Capsules / Injections / Vitamins / Skincare / Medical Devices",,,,,,,,,,
Brand / Manufacturer,"Example: Cipla, Sun Pharma, Himalaya, Dr. Reddys, Abbott",,,,,,,,,,
Selling Price (₹),Your actual selling price in rupees (numbers only). Example: 25,,,,,,,,,,
MRP (₹),Maximum Retail Price printed on pack (numbers only). Example: 40,,,,,,,,,,
Stock Quantity,How many units you have in stock. Example: 100,,,,,,,,,,
Composition / Salt,"Active ingredients. Example: Paracetamol IP 500mg, Amoxicillin 250mg",,,,,,,,,,
Prescription Required,"Type exactly: Yes or No",,,,,,,,,,
Expiry Date,"Month/Year format. Example: 12/2026",,,,,,,,,,
Description,"2-3 lines about the product, its uses and benefits.",,,,,,,,,,
Product Image Filename,"Exact filename of product image. Example: paracetamol-500mg.jpg (upload images separately)",,,,,,,,,,
,,,,,,,,,,,
VALID CATEGORIES,,,,,,,,,,,
1. Tablets,,,,,,,,,,,
2. Syrups,,,,,,,,,,,
3. Capsules,,,,,,,,,,,
4. Injections,,,,,,,,,,,
5. Vitamins,,,,,,,,,,,
6. Skincare,,,,,,,,,,,
7. Medical Devices,,,,,,,,,,,
